timestamp_epoch,power_w,gpu_util,mem_copy_util
1776572250.284881,36.265000,0,100
1776572251.380579,36.265000,0,100
1776572252.459339,36.265000,0,100
1776572253.549170,36.265000,0,100
1776572254.637744,36.265000,0,100
1776572255.718769,36.265000,0,100
1776572256.801827,36.265000,0,100
1776572257.895189,36.265000,0,100
1776572258.976588,36.265000,0,100
1776572260.068974,36.265000,0,100
1776572261.149042,36.265000,0,100
1776572262.245636,36.265000,0,100
1776572263.329191,36.265000,0,100
1776572264.417105,36.265000,0,100
1776572265.498207,36.265000,0,100
1776572266.585556,36.265000,0,100
1776572267.692564,36.265000,0,100
1776572268.780477,36.265000,0,100
1776572269.867314,36.265000,0,100
1776572270.948617,36.265000,0,100
1776572272.037649,36.265000,0,100
1776572273.117173,68.305000,98,100
1776572274.198611,68.305000,98,100
1776572275.281427,68.305000,98,100
1776572276.364115,68.305000,98,100
1776572277.448909,68.305000,98,100
1776572278.534525,68.305000,98,100
1776572279.621830,68.305000,98,100
1776572280.718274,68.305000,98,100
1776572281.798559,68.305000,98,100
1776572282.883657,68.305000,98,100
1776572283.978414,68.305000,98,100
1776572285.070123,68.305000,98,100
1776572286.161837,68.305000,98,100
1776572287.245875,68.305000,98,100
1776572288.328627,68.305000,98,100
1776572289.423967,68.305000,98,100
1776572290.507083,68.305000,98,100
1776572291.587531,68.305000,98,100
1776572292.672635,68.305000,98,100
1776572293.759683,68.305000,98,100
1776572294.858583,68.305000,98,100
1776572295.940849,68.305000,98,100
