timestamp_epoch,power_w,gpu_util,mem_copy_util
1776574257.921573,68.054000,97,0
1776574259.011867,68.054000,97,0
1776574260.156304,68.054000,97,0
1776574261.237249,68.054000,97,0
1776574262.319287,68.054000,97,0
1776574263.403292,68.054000,97,0
1776574264.498792,68.054000,97,0
1776574265.584469,68.054000,97,0
1776574266.669107,68.054000,97,0
1776574267.755462,68.054000,97,0
1776574268.838374,68.054000,97,0
1776574269.921932,68.054000,97,0
1776574271.009861,68.054000,97,0
1776574272.092295,68.054000,97,0
1776574273.172215,68.054000,97,0
1776574274.256271,68.054000,97,0
1776574275.340135,68.054000,97,0
1776574276.426303,68.054000,97,0
1776574277.512742,68.054000,97,0
1776574278.600352,68.054000,97,0
1776574279.684375,68.054000,97,0
1776574280.768798,68.054000,97,0
1776574281.856374,68.054000,97,0
1776574282.951220,35.716000,0,0
1776574284.040826,35.716000,0,0
1776574285.137026,35.716000,0,0
1776574286.223351,35.716000,0,0
1776574287.308862,35.716000,0,0
1776574288.403532,35.716000,0,0
1776574289.490154,35.716000,0,0
1776574290.581849,35.716000,0,0
1776574291.681204,35.716000,0,0
1776574292.764876,35.716000,0,0
1776574293.846661,35.716000,0,0
1776574294.935958,35.716000,0,0
1776574296.022064,35.716000,0,0
1776574297.101756,35.716000,0,0
1776574298.187956,35.716000,0,0
1776574299.270514,35.716000,0,0
1776574300.364192,35.716000,0,0
1776574301.445408,35.716000,0,0
1776574302.531308,35.716000,0,0
1776574303.618353,35.716000,0,0
1776574304.705377,35.716000,0,0
1776574305.788135,35.716000,0,0
1776574306.875585,35.716000,0,0
1776574307.957879,35.716000,0,0
1776574309.045492,35.716000,0,0
1776574310.147413,35.716000,0,0
1776574311.230397,35.716000,0,0
1776574312.327016,35.441000,0,84
1776574313.437849,35.441000,0,84
1776574314.531395,35.441000,0,84
1776574315.619062,35.441000,0,84
1776574316.704723,35.441000,0,84
1776574317.915012,35.441000,0,84
1776574319.104507,35.441000,0,84
1776574320.352576,35.441000,0,84
1776574321.439290,35.441000,0,84
1776574322.520030,35.441000,0,84
1776574323.613165,35.441000,0,84
1776574324.698030,35.441000,0,84
1776574325.794080,35.441000,0,84
1776574326.876878,35.441000,0,84
1776574327.965035,35.441000,0,84
1776574329.049062,35.441000,0,84
1776574330.128619,35.441000,0,84
1776574331.220675,35.441000,0,84
1776574332.303734,35.441000,0,84
1776574333.386376,35.441000,0,84
1776574334.470506,35.441000,0,84
1776574335.554410,35.441000,0,84
1776574336.642537,35.441000,0,84
1776574337.724147,35.441000,0,84
1776574338.810813,35.441000,0,84
1776574339.893769,35.441000,0,84
1776574340.983387,35.441000,0,84
1776574342.068435,35.441000,0,84
1776574343.151467,69.142000,98,100
1776574344.239594,69.142000,98,100
1776574345.322653,69.142000,98,100
1776574346.408341,69.142000,98,100
1776574347.489758,69.142000,98,100
1776574348.572438,69.142000,98,100
1776574349.657648,69.142000,98,100
1776574350.758156,69.142000,98,100
1776574351.847808,69.142000,98,100
1776574352.933661,69.142000,98,100
1776574354.017759,69.142000,98,100
1776574355.118208,69.142000,98,100
1776574356.202882,69.142000,98,100
1776574357.288388,69.142000,98,100
1776574358.368104,69.142000,98,100
1776574359.453616,69.142000,98,100
1776574360.535130,69.142000,98,100
1776574361.617103,69.142000,98,100
1776574362.703671,69.142000,98,100
1776574363.791843,69.142000,98,100
1776574364.876526,69.142000,98,100
1776574365.963413,69.142000,98,100
1776574367.046393,69.142000,98,100
1776574368.139243,69.142000,98,100
1776574369.225199,69.142000,98,100
1776574370.308767,69.142000,98,100
1776574371.389555,69.142000,98,100
1776574372.472573,67.328000,97,100
1776574373.570519,67.328000,97,100
1776574374.659753,67.328000,97,100
1776574375.741639,67.328000,97,100
1776574376.825957,67.328000,97,100
1776574377.908660,67.328000,97,100
1776574378.993935,67.328000,97,100
1776574380.150564,67.328000,97,100
1776574381.236537,67.328000,97,100
1776574382.320044,67.328000,97,100
1776574383.402780,67.328000,97,100
1776574384.484244,67.328000,97,100
1776574385.566359,67.328000,97,100
1776574386.647806,67.328000,97,100
1776574387.730368,67.328000,97,100
1776574388.812865,67.328000,97,100
1776574389.897722,67.328000,97,100
1776574390.984799,67.328000,97,100
1776574392.073682,67.328000,97,100
1776574393.154849,67.328000,97,100
1776574394.236763,67.328000,97,100
1776574395.326022,67.328000,97,100
1776574396.406610,67.328000,97,100
1776574397.492828,67.328000,97,100
1776574398.574714,67.328000,97,100
1776574399.659103,67.328000,97,100
1776574400.741220,67.328000,97,100
1776574401.822154,67.328000,97,100
1776574402.907157,69.435000,97,100
1776574403.989431,69.435000,97,100
1776574405.094516,69.435000,97,100
1776574406.176329,69.435000,97,100
1776574407.264285,69.435000,97,100
1776574408.346547,69.435000,97,100
1776574409.428314,69.435000,97,100
1776574410.516648,69.435000,97,100
1776574411.606179,69.435000,97,100
1776574412.689271,69.435000,97,100
1776574413.772279,69.435000,97,100
1776574414.861329,69.435000,97,100
1776574415.945859,69.435000,97,100
1776574417.028926,69.435000,97,100
1776574418.116757,69.435000,97,100
1776574419.202898,69.435000,97,100
1776574420.295317,69.435000,97,100
1776574421.394429,69.435000,97,100
1776574422.477888,69.435000,97,100
1776574423.563839,69.435000,97,100
1776574424.653577,69.435000,97,100
1776574425.734013,69.435000,97,100
1776574426.818216,69.435000,97,100
1776574427.902567,69.435000,97,100
1776574428.986423,69.435000,97,100
1776574430.092780,69.435000,97,100
1776574431.174978,69.435000,97,100
1776574432.257438,69.435000,97,100
1776574433.336465,69.435000,97,100
1776574434.421649,69.435000,97,100
1776574435.504624,69.435000,97,100
1776574436.586870,69.435000,97,100
1776574437.668390,69.435000,97,100
1776574438.752388,69.435000,97,100
1776574439.839022,69.435000,97,100
1776574440.929640,69.435000,97,100
1776574442.012231,69.435000,97,100
1776574443.094079,69.435000,97,100
1776574444.179308,69.435000,97,100
1776574445.262512,69.435000,97,100
1776574446.345900,69.435000,97,100
1776574447.430410,69.435000,97,100
1776574448.517745,69.435000,97,100
1776574449.602511,69.435000,97,100
1776574450.684202,69.435000,97,100
1776574451.779270,69.435000,97,100
1776574452.865112,69.435000,97,100
1776574453.950951,69.435000,97,100
1776574455.050425,69.435000,97,100
1776574456.130663,69.435000,97,100
1776574457.215050,69.435000,97,100
1776574458.297643,69.435000,97,100
1776574459.383597,69.435000,97,100
1776574460.468852,69.435000,97,100
1776574461.552720,69.435000,97,100
1776574462.633541,70.944000,97,100
1776574463.723574,70.944000,97,100
1776574464.807552,70.944000,97,100
1776574465.895138,70.944000,97,100
1776574466.981551,70.944000,97,100
1776574468.071748,70.944000,97,100
1776574469.156519,70.944000,97,100
1776574470.255835,70.944000,97,100
1776574471.344155,70.944000,97,100
1776574472.428939,70.944000,97,100
1776574473.508919,70.944000,97,100
1776574474.593180,70.944000,97,100
1776574475.679815,70.944000,97,100
1776574476.766537,70.944000,97,100
1776574477.849345,70.944000,97,100
1776574478.931485,70.944000,97,100
1776574480.013685,70.944000,97,100
1776574481.097745,70.944000,97,100
1776574482.187507,70.944000,97,100
1776574483.267313,70.944000,97,100
1776574484.353797,70.944000,97,100
1776574485.446091,70.944000,97,100
1776574486.527318,70.944000,97,100
1776574487.611753,70.944000,97,100
1776574488.692723,70.944000,97,100
1776574489.775150,70.944000,97,100
1776574490.856322,70.944000,97,100
1776574491.941609,70.944000,97,100
1776574493.029546,69.771000,97,100
1776574494.114467,69.771000,97,100
1776574495.207187,69.771000,97,100
1776574496.289020,69.771000,97,100
1776574497.375073,69.771000,97,100
1776574498.461515,69.771000,97,100
1776574499.543910,69.771000,97,100
1776574500.638517,69.771000,97,100
1776574501.721297,69.771000,97,100
1776574502.802149,69.771000,97,100
1776574503.884241,69.771000,97,100
1776574504.974360,69.771000,97,100
1776574506.059192,69.771000,97,100
1776574507.146061,69.771000,97,100
1776574508.228525,69.771000,97,100
1776574509.311764,69.771000,97,100
1776574510.393293,69.771000,97,100
1776574511.480970,69.771000,97,100
1776574512.567119,69.771000,97,100
1776574513.650769,69.771000,97,100
1776574514.744969,69.771000,97,100
1776574515.827519,69.771000,97,100
1776574516.911175,69.771000,97,100
1776574517.992705,69.771000,97,100
1776574519.080591,69.771000,97,100
1776574520.177237,69.771000,97,100
1776574521.258732,69.771000,97,100
