timestamp_epoch,power_w,gpu_util,mem_copy_util
1776581069.273896,71.325000,98,100
1776581070.395433,71.325000,98,100
1776581071.480037,71.325000,98,100
1776581072.565493,71.325000,98,100
1776581073.681702,71.325000,98,100
1776581074.770090,71.325000,98,100
1776581075.858026,71.325000,98,100
1776581076.952397,71.325000,98,100
1776581078.037232,71.325000,98,100
1776581079.120902,71.325000,98,100
1776581080.206255,71.325000,98,100
1776581081.285308,71.325000,98,100
1776581082.368445,71.325000,98,100
1776581083.453650,71.325000,98,100
1776581084.542975,71.325000,98,100
1776581085.625588,71.325000,98,100
1776581086.710297,71.325000,98,100
1776581087.794488,71.325000,98,100
1776581088.877176,71.325000,98,100
1776581089.961798,71.325000,98,100
1776581091.043636,71.325000,98,100
1776581092.124223,71.325000,98,100
1776581093.209028,35.897000,0,0
1776581094.291700,35.897000,0,0
1776581095.373384,35.897000,0,0
1776581096.460873,35.897000,0,0
1776581097.554153,35.897000,0,0
1776581098.642540,35.897000,0,0
1776581099.726355,35.897000,0,0
1776581100.817917,35.897000,0,0
1776581101.902936,35.897000,0,0
1776581102.991948,35.897000,0,0
1776581104.078446,35.897000,0,0
1776581105.197835,35.897000,0,0
1776581106.283331,35.897000,0,0
1776581107.369639,35.897000,0,0
1776581108.453935,35.897000,0,0
1776581109.539543,35.897000,0,0
1776581110.625885,35.897000,0,0
1776581111.712817,35.897000,0,0
1776581112.795227,35.897000,0,0
1776581113.882109,35.897000,0,0
1776581114.969848,35.897000,0,0
1776581116.055670,35.897000,0,0
1776581117.148912,35.897000,0,0
1776581118.237119,35.897000,0,0
1776581119.321059,35.897000,0,0
1776581120.407802,35.897000,0,0
1776581121.491344,35.897000,0,0
1776581122.585119,69.061000,100,39
1776581123.693619,69.061000,100,39
1776581124.773857,69.061000,100,39
1776581125.866905,69.061000,100,39
1776581126.950286,69.061000,100,39
1776581128.037559,69.061000,100,39
1776581129.124281,69.061000,100,39
1776581130.215318,69.061000,100,39
1776581131.302340,69.061000,100,39
1776581132.388180,69.061000,100,39
1776581133.472815,69.061000,100,39
1776581134.557308,69.061000,100,39
1776581135.645411,69.061000,100,39
1776581136.732012,69.061000,100,39
1776581137.824268,69.061000,100,39
1776581138.912282,69.061000,100,39
1776581139.998810,69.061000,100,39
1776581141.086676,69.061000,100,39
1776581142.172217,69.061000,100,39
1776581143.265276,69.061000,100,39
1776581144.347940,69.061000,100,39
1776581145.430393,69.061000,100,39
1776581146.511058,69.061000,100,39
1776581147.594145,69.061000,100,39
1776581148.676745,69.061000,100,39
1776581149.770973,69.061000,100,39
1776581150.859392,69.061000,100,39
1776581151.945428,69.061000,100,39
1776581153.030213,68.445000,100,38
1776581154.111290,68.445000,100,38
1776581155.201063,68.445000,100,38
1776581156.288002,68.445000,100,38
1776581157.378797,68.445000,100,38
1776581158.459554,68.445000,100,38
1776581159.543017,68.445000,100,38
1776581160.625986,68.445000,100,38
1776581161.708649,68.445000,100,38
1776581162.793863,68.445000,100,38
1776581163.881638,68.445000,100,38
1776581164.970845,68.445000,100,38
1776581166.059742,68.445000,100,38
1776581167.144386,68.445000,100,38
1776581168.241173,68.445000,100,38
1776581169.329986,68.445000,100,38
1776581170.420533,68.445000,100,38
1776581171.506795,68.445000,100,38
1776581172.586795,68.445000,100,38
1776581173.676843,68.445000,100,38
1776581174.760576,68.445000,100,38
1776581175.845903,68.445000,100,38
1776581176.931383,68.445000,100,38
1776581178.019166,68.445000,100,38
1776581179.103988,68.445000,100,38
1776581180.212663,68.445000,100,38
1776581181.299283,68.445000,100,38
1776581182.390790,70.270000,99,40
1776581183.475562,70.270000,99,40
1776581184.557181,70.270000,99,40
1776581185.637604,70.270000,99,40
1776581186.716817,70.270000,99,40
1776581187.799959,70.270000,99,40
