metric,value
duration,1366.8253361300012
completed,3997
request_throughput,2.9242946368824394
input_throughput,956.4396894349503
output_throughput,590.2670799798992
total_throughput,1546.7067694148495
mean_e2e_latency_ms,10821.455952816377
median_e2e_latency_ms,6410.392547999436
p99_e2e_latency_ms,48675.12559284019
mean_ttft_ms,10821.142581714046
median_ttft_ms,6410.49334499985
p99_ttft_ms,48675.34487840035
mean_tpot_ms,0.019620853345124704
median_tpot_ms,-0.0005583121329263348
p99_tpot_ms,-4.4818696388057344e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.64512560608048
total_input_tokens,1307286
total_output_tokens,806792
total_input_tokens_retokenized,
total_output_tokens_retokenized,709753
