timestamp_epoch,power_w,gpu_util,mem_copy_util
1776572158.846922,70.021000,0,100
1776572159.936162,70.021000,0,100
1776572161.028249,70.021000,0,100
1776572162.109604,70.021000,0,100
1776572163.190328,70.021000,0,100
1776572164.275480,70.021000,0,100
1776572165.356889,70.021000,0,100
1776572166.440282,70.021000,0,100
1776572167.522981,70.021000,0,100
1776572168.603688,70.021000,0,100
1776572169.685367,70.021000,0,100
1776572170.770890,70.021000,0,100
1776572171.854100,70.021000,0,100
1776572172.936598,70.021000,0,100
1776572174.019898,70.021000,0,100
1776572175.099225,70.021000,0,100
1776572176.181621,70.021000,0,100
1776572177.263265,70.021000,0,100
1776572178.345320,70.021000,0,100
1776572179.427619,70.021000,0,100
1776572180.507418,70.021000,0,100
1776572181.589604,70.021000,0,100
1776572182.671663,70.021000,98,100
1776572183.754177,70.021000,98,100
1776572184.836401,70.021000,98,100
1776572185.920771,70.021000,98,100
1776572187.002262,70.021000,98,100
1776572188.088918,70.021000,98,100
1776572189.174731,70.021000,98,100
1776572190.319924,70.021000,98,100
1776572191.405774,70.021000,98,100
1776572192.493795,70.021000,98,100
1776572193.574923,70.021000,98,100
1776572194.657745,70.021000,98,100
1776572195.753024,70.021000,98,100
1776572196.835771,70.021000,98,100
1776572197.919337,70.021000,98,100
1776572199.001248,70.021000,98,100
1776572200.096781,70.021000,98,100
1776572201.177205,70.021000,98,100
1776572202.260990,70.021000,98,100
1776572203.343005,70.021000,98,100
1776572204.425877,70.021000,98,100
1776572205.506745,70.021000,98,100
1776572206.589931,70.021000,98,100
1776572207.676522,70.021000,98,100
