metric,value
duration,27.17558417500004
completed,30
request_throughput,1.1039321107804652
input_throughput,377.1032090426069
output_throughput,289.1934152874559
total_throughput,666.2966243300627
mean_e2e_latency_ms,9664.545539566672
median_e2e_latency_ms,10377.011209000557
p99_e2e_latency_ms,25420.675127859988
mean_ttft_ms,9664.62813070005
median_ttft_ms,10377.071556500141
p99_ttft_ms,25420.739043439746
mean_tpot_ms,-0.002224755119889013
median_tpot_ms,-0.0004652607688362393
p99_tpot_ms,-5.387584717138996e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,10.669002157227768
total_input_tokens,10248
total_output_tokens,7859
total_input_tokens_retokenized,
total_output_tokens_retokenized,7225
